ts,chilledWater,steam,electricity
2012-01-01 00:00:00,2376.54,10260.52,11102.21
2012-01-01 01:00:00,2401.83,7866.11,10973.3
2012-01-01 02:00:00,2462.81,6952.48,10990.62
2012-01-01 03:00:00,2401.36,11935.05,11069.46
2012-01-01 04:00:00,2400.69,14103.05,11050.19
2012-01-01 05:00:00,2513.26,7524.68,10968.76
2012-01-01 06:00:00,2461.82,6353.98,11029.15
2012-01-01 07:00:00,2406.13,8831.48,11216.66
2012-01-01 08:00:00,2392.83,13846.72,11293.43
2012-01-01 09:00:00,2413.59,9598.43,11211.59
2012-01-01 10:00:00,2316.9,7182.28,11144.8
2012-01-01 11:00:00,2826.83,6717.44,11304.81
2012-01-01 12:00:00,2322.77,13095.61,11440.07
2012-01-01 13:00:00,2169.29,10550.0,11516.86
2012-01-01 14:00:00,2398.6,6442.92,11527.62
2012-01-01 15:00:00,2304.19,6459.79,11508.85
2012-01-01 16:00:00,2311.69,8678.69,11616.5
2012-01-01 17:00:00,2724.37,12544.21,11544.53
2012-01-01 18:00:00,2437.84,6064.62,11381.19
2012-01-01 19:00:00,2416.66,4880.72,11485.95
2012-01-01 20:00:00,2448.33,6655.92,11610.15
2012-01-01 21:00:00,2398.18,12262.87,11455.04
2012-01-01 22:00:00,2543.86,6902.98,11282.67
2012-01-01 23:00:00,2511.29,5664.29,11216.84
2012-01-02 00:00:00,2410.53,5598.96,11160.76
2012-01-02 01:00:00,2468.67,11901.17,11056.26
2012-01-02 02:00:00,2477.97,7932.88,10966.6
2012-01-02 03:00:00,2467.92,5531.98,11000.71
2012-01-02 04:00:00,2469.21,6113.42,11041.96
2012-01-02 05:00:00,2512.45,12193.48,11122.83
2012-01-02 06:00:00,5076.86,7861.22,13479.54
2012-01-02 07:00:00,5146.03,8501.84,16193.78
2012-01-02 08:00:00,4790.57,13634.72,16258.73
2012-01-02 09:00:00,4898.74,12963.89,16307.27
2012-01-02 10:00:00,5200.45,7186.62,16252.19
2012-01-02 11:00:00,4945.4,8436.36,16150.32
2012-01-02 12:00:00,4911.29,14706.98,16045.54
2012-01-02 13:00:00,4866.44,10815.67,16100.49
2012-01-02 14:00:00,4858.48,12270.1,16351.42
2012-01-02 15:00:00,4597.53,13855.02,16540.55
2012-01-02 16:00:00,4571.43,13373.9,16592.97
2012-01-02 17:00:00,4465.31,14582.27,16590.01
2012-01-02 18:00:00,2951.93,9212.65,14429.97
2012-01-02 19:00:00,2653.48,9139.81,12247.74
2012-01-02 20:00:00,2423.02,13532.13,12159.37
2012-01-02 21:00:00,2487.72,16739.75,12007.85
2012-01-02 22:00:00,2569.74,12093.03,11853.48
2012-01-02 23:00:00,2337.81,8414.99,11632.36
2012-01-03 00:00:00,2436.52,11841.58,11506.04
2012-01-03 01:00:00,2335.6,15703.71,11470.57
2012-01-03 02:00:00,2472.95,15569.4,11358.86
2012-01-03 03:00:00,2440.23,11548.26,11291.31
2012-01-03 04:00:00,2375.79,11874.26,11352.57
2012-01-03 05:00:00,2399.32,16209.51,11556.45
2012-01-03 06:00:00,4034.98,9396.05,13278.0
2012-01-03 07:00:00,4393.18,13784.16,17204.96
2012-01-03 08:00:00,4084.79,20348.23,19490.74
2012-01-03 09:00:00,3997.29,19268.33,20354.46
2012-01-03 10:00:00,4302.67,19981.47,20771.42
2012-01-03 11:00:00,4728.46,17821.78,20839.98
2012-01-03 12:00:00,5077.4,12935.51,20900.76
2012-01-03 13:00:00,5139.57,18242.58,20928.56
2012-01-03 14:00:00,5079.69,16378.29,20774.49
2012-01-03 15:00:00,5020.91,18261.33,20649.73
2012-01-03 16:00:00,4854.13,18031.31,20132.63
