ts,chilledWater,steam,electricity
2011-02-01 03:00:00,296.04,,
2011-02-01 04:00:00,316.05,,
2011-02-01 05:00:00,322.96,,
2011-02-01 06:00:00,327.69,,
2011-02-01 07:00:00,320.45,,
2011-02-01 08:00:00,329.02,,
2011-02-01 09:00:00,343.39,,
2011-02-01 10:00:00,359.16,,
2011-02-01 11:00:00,361.46,,
2011-02-01 12:00:00,359.62,,
2011-02-01 13:00:00,375.86,,
2011-02-01 14:00:00,360.2,,
2011-02-01 15:00:00,374.49,,
2011-02-01 16:00:00,375.05,,
2011-02-01 17:00:00,360.09,,
2011-02-01 18:00:00,340.59,,
2011-02-01 19:00:00,345.49,,
2011-02-01 20:00:00,314.28,,
2011-02-01 21:00:00,335.83,,
2011-02-01 22:00:00,318.61,,
2011-02-01 23:00:00,323.91,,
2011-02-02 00:00:00,320.0,,
2011-02-02 01:00:00,316.82,,
2011-02-02 02:00:00,320.03,,
2011-02-02 03:00:00,310.59,,
2011-02-02 04:00:00,318.44,,
2011-02-02 05:00:00,336.75,,
2011-02-02 06:00:00,324.34,,
2011-02-02 07:00:00,333.32,,
2011-02-02 08:00:00,323.88,,
2011-02-02 09:00:00,339.43,,
2011-02-02 10:00:00,355.01,,
2011-02-02 11:00:00,357.42,,
2011-02-02 12:00:00,358.57,,
2011-02-02 13:00:00,367.76,,
2011-02-02 14:00:00,352.77,,
2011-02-02 15:00:00,364.14,,
2011-02-02 16:00:00,356.86,,
2011-02-02 17:00:00,360.17,,
2011-02-02 18:00:00,359.43,,
2011-02-02 19:00:00,326.66,,
2011-02-02 20:00:00,318.32,,
2011-02-02 21:00:00,325.58,,
2011-02-02 22:00:00,317.01,,
2011-02-02 23:00:00,319.25,,
2011-02-03 00:00:00,318.24,,
2011-02-03 01:00:00,320.64,,
2011-02-03 02:00:00,320.64,,
2011-02-03 03:00:00,320.64,,
2011-02-03 04:00:00,320.64,,
2011-02-03 05:00:00,320.64,,
2011-02-03 06:00:00,320.64,,
2011-02-03 07:00:00,320.64,,
2011-02-03 08:00:00,320.64,,
2011-02-03 09:00:00,320.64,,
2011-02-03 10:00:00,320.64,,
2011-02-03 11:00:00,320.64,,
2011-02-03 12:00:00,320.64,,
2011-02-03 13:00:00,320.64,,
2011-02-03 14:00:00,86.34,,
2011-02-03 15:00:00,362.68,,
2011-02-03 16:00:00,360.39,,
2011-02-03 17:00:00,349.6,,
2011-02-03 18:00:00,359.66,,
2011-02-03 19:00:00,339.41,,
2011-02-03 20:00:00,328.76,,
2011-02-03 21:00:00,331.78,,
2011-02-03 22:00:00,320.73,,
2011-02-03 23:00:00,336.89,,
2011-02-04 00:00:00,323.6,,
2011-02-04 01:00:00,330.87,,
2011-02-04 02:00:00,330.05,,
2011-02-04 03:00:00,324.65,,
2011-02-04 04:00:00,345.65,,
